"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2015","     8483.70","     8603.40","     8464.75","     8586.25","      136312446","         6863.03"
"06-Apr-2015","     8615.80","     8667.55","     8573.75","     8659.90","      150877855","         7633.00"
"07-Apr-2015","     8684.45","     8693.60","     8586.85","     8660.30","      141765381","         7287.01"
"08-Apr-2015","     8698.95","     8730.50","     8679.80","     8714.40","      149617725","         7889.65"
"09-Apr-2015","     8756.20","     8785.50","     8682.45","     8778.30","      158192905","         8391.19"
"10-Apr-2015","     8774.35","     8787.40","     8733.60","     8780.35","      141464357","         7119.96"
"13-Apr-2015","     8801.75","     8841.65","     8762.10","     8834.00","      122833397","         6242.71"
"15-Apr-2015","     8844.75","     8844.80","     8722.40","     8750.20","      170458015","         8908.26"
"16-Apr-2015","     8757.05","     8760.00","     8645.65","     8706.70","      149337173","         8268.33"
"17-Apr-2015","     8698.05","     8699.85","     8596.70","     8606.00","      155474164","         9134.37"
"20-Apr-2015","     8618.80","     8619.95","     8422.75","     8448.10","      154492312","         8930.38"
"21-Apr-2015","     8416.10","     8469.35","     8352.70","     8377.75","      418959074","        32873.45"
"22-Apr-2015","     8400.40","     8449.95","     8284.70","     8429.70","      176926942","        10002.48"
"23-Apr-2015","     8478.20","     8504.95","     8361.85","     8398.30","      169840748","         9801.34"
"24-Apr-2015","     8405.70","     8413.30","     8273.35","     8305.25","      177843969","        10984.24"
"27-Apr-2015","     8330.55","     8334.45","     8202.35","     8213.80","      174706337","        10143.36"
"28-Apr-2015","     8215.55","     8308.00","     8185.15","     8285.60","      183754628","         9560.13"
"29-Apr-2015","     8274.80","     8308.20","     8219.20","     8239.75","      174958511","         8571.95"
"30-Apr-2015","     8224.50","     8229.40","     8144.75","     8181.50","      281696257","        14755.35"
"04-May-2015","     8230.05","     8346.00","     8220.45","     8331.95","      136913823","         7856.18"
"05-May-2015","     8338.40","     8355.65","     8280.60","     8324.80","      156019941","         8138.54"
"06-May-2015","     8316.60","     8331.95","     8083.00","     8097.00","      212509839","        10894.12"
"07-May-2015","     8077.00","     8122.60","     7997.15","     8057.30","      166563657","         8443.96"
"08-May-2015","     8131.50","     8224.95","     8123.45","     8191.50","      188776090","         8961.33"
"11-May-2015","     8243.20","     8332.75","     8224.65","     8325.25","      197882948","         8396.12"
"12-May-2015","     8326.15","     8326.65","     8115.30","     8126.95","      178753978","         8779.53"
"13-May-2015","     8181.55","     8254.95","     8089.80","     8235.45","      175015183","         8391.93"
"14-May-2015","     8232.45","     8236.25","     8137.30","     8224.20","      138964395","         6763.72"
"15-May-2015","     8240.30","     8279.20","     8212.20","     8262.35","      133838055","         6463.64"
"18-May-2015","     8284.95","     8384.60","     8271.95","     8373.65","      153340463","         7459.18"
"19-May-2015","     8356.20","     8427.80","     8335.00","     8365.65","      144642344","         7266.52"
"20-May-2015","     8392.65","     8440.35","     8391.45","     8423.25","      127388797","         6151.44"
"21-May-2015","     8434.50","     8446.35","     8382.50","     8421.00","      148189485","         7641.60"
"22-May-2015","     8432.50","     8489.55","     8420.60","     8458.95","      193080657","         8261.69"
"25-May-2015","     8438.15","     8441.95","     8364.15","     8370.25","      125051166","         5555.29"
"26-May-2015","     8377.10","     8378.90","     8320.05","     8339.35","      120428892","         5908.30"
"27-May-2015","     8302.75","     8342.85","     8277.95","     8334.60","      170583401","         8131.59"
"28-May-2015","     8345.70","     8364.50","     8270.15","     8319.00","      239549060","        11449.91"
"29-May-2015","     8327.10","     8443.90","     8305.70","     8433.65","      375232198","        20736.20"
"01-Jun-2015","     8417.25","     8467.15","     8405.40","     8433.40","      125990614","         7254.01"
